,DATE,personal income,MSA,State,1_Year_change
129,2017-01-01,47037,San Diego-Carlsbad,CA,0.006612737544940961
130,2018-01-01,48354,San Diego-Carlsbad,CA,0.027999234645066595
131,2019-01-01,49642,San Diego-Carlsbad,CA,0.026636886296893758
132,2008-01-01,38445,Anniston-Oxford-Jacksonville,AL,
133,2009-01-01,38477,Anniston-Oxford-Jacksonville,AL,0.0008323579139029036
134,2010-01-01,38864,Anniston-Oxford-Jacksonville,AL,0.010057956701406079
135,2011-01-01,39052,Anniston-Oxford-Jacksonville,AL,0.004837381638534311
136,2012-01-01,38322,Anniston-Oxford-Jacksonville,AL,-0.01869302468503531
137,2013-01-01,37267,Anniston-Oxford-Jacksonville,AL,-0.02752987839883092
138,2014-01-01,38359,Anniston-Oxford-Jacksonville,AL,0.029302063487804286
139,2015-01-01,39808,Anniston-Oxford-Jacksonville,AL,0.037774707369848
140,2016-01-01,40569,Anniston-Oxford-Jacksonville,AL,0.019116760450160752
141,2017-01-01,41002,Anniston-Oxford-Jacksonville,AL,0.010673174098449591
142,2018-01-01,41765,Anniston-Oxford-Jacksonville,AL,0.018608848348861118
143,2019-01-01,42818,Anniston-Oxford-Jacksonville,AL,0.025212498503531574
144,2008-01-01,41970,Olympia-Tumwater,WA,
145,2009-01-01,40646,Olympia-Tumwater,WA,-0.031546342625685016
146,2010-01-01,40620,Olympia-Tumwater,WA,-0.0006396693401564679
147,2011-01-01,40227,Olympia-Tumwater,WA,-0.009675036927621837
148,2012-01-01,40720,Olympia-Tumwater,WA,0.0122554503194372
149,2013-01-01,39864,Olympia-Tumwater,WA,-0.021021611001964646
150,2014-01-01,40403,Olympia-Tumwater,WA,0.013520971302428242
151,2015-01-01,41721,Olympia-Tumwater,WA,0.032621339999505006
152,2016-01-01,42459,Olympia-Tumwater,WA,0.01768893363054569
153,2017-01-01,43089,Olympia-Tumwater,WA,0.014837843566734897
154,2018-01-01,43504,Olympia-Tumwater,WA,0.009631228387755542
155,2019-01-01,44720,Olympia-Tumwater,WA,0.02795145273997801
156,2008-01-01,34259,Stockton-Lodi,CA,
157,2009-01-01,33793,Stockton-Lodi,CA,-0.013602265098222377
158,2010-01-01,33846,Stockton-Lodi,CA,0.0015683721480779234
159,2011-01-01,33650,Stockton-Lodi,CA,-0.005790935413342746
160,2012-01-01,34171,Stockton-Lodi,CA,0.015482912332837941
161,2013-01-01,35030,Stockton-Lodi,CA,0.025138275145591304
162,2014-01-01,36764,Stockton-Lodi,CA,0.04950042820439626
163,2015-01-01,39343,Stockton-Lodi,CA,0.07015014688282006
164,2016-01-01,40262,Stockton-Lodi,CA,0.023358666090537158
165,2017-01-01,40459,Stockton-Lodi,CA,0.004892951169837456
166,2018-01-01,41052,Stockton-Lodi,CA,0.014656813070021538
167,2019-01-01,42371,Stockton-Lodi,CA,0.03212998148689472
168,2008-01-01,41325,Scranton--Wilkes-Barre--Hazleton,PA,
169,2009-01-01,41314,Scranton--Wilkes-Barre--Hazleton,PA,-0.00026618269812461737
170,2010-01-01,42019,Scranton--Wilkes-Barre--Hazleton,PA,0.01706443336399288
171,2011-01-01,42261,Scranton--Wilkes-Barre--Hazleton,PA,0.0057592993645732005
172,2012-01-01,42274,Scranton--Wilkes-Barre--Hazleton,PA,0.0003076122193037545
173,2013-01-01,41377,Scranton--Wilkes-Barre--Hazleton,PA,-0.0212187159956474
174,2014-01-01,42262,Scranton--Wilkes-Barre--Hazleton,PA,0.021388694202092884
175,2015-01-01,43713,Scranton--Wilkes-Barre--Hazleton,PA,0.03433344375561975
176,2016-01-01,44844,Scranton--Wilkes-Barre--Hazleton,PA,0.02587330999931381
177,2017-01-01,45577,Scranton--Wilkes-Barre--Hazleton,PA,0.01634555347426625
178,2018-01-01,46857,Scranton--Wilkes-Barre--Hazleton,PA,0.02808434078592281
179,2019-01-01,47557,Scranton--Wilkes-Barre--Hazleton,PA,0.014939069936188876
180,2008-01-01,43489,Sacramento--Roseville--Arden-Arcade,CA,
181,2009-01-01,41942,Sacramento--Roseville--Arden-Arcade,CA,-0.03557221366322516
182,2010-01-01,41840,Sacramento--Roseville--Arden-Arcade,CA,-0.002431929807829913
183,2011-01-01,42642,Sacramento--Roseville--Arden-Arcade,CA,0.019168260038241014
184,2012-01-01,43547,Sacramento--Roseville--Arden-Arcade,CA,0.021223207166643162
185,2013-01-01,44152,Sacramento--Roseville--Arden-Arcade,CA,0.013893035111488759
186,2014-01-01,46209,Sacramento--Roseville--Arden-Arcade,CA,0.04658905598840368
187,2015-01-01,49084,Sacramento--Roseville--Arden-Arcade,CA,0.06221731697288412
188,2016-01-01,49692,Sacramento--Roseville--Arden-Arcade,CA,0.012386928530682129
189,2017-01-01,49820,Sacramento--Roseville--Arden-Arcade,CA,0.002575867342831773
190,2018-01-01,50416,Sacramento--Roseville--Arden-Arcade,CA,0.011963067041348864
191,2019-01-01,51350,Sacramento--Roseville--Arden-Arcade,CA,0.01852586480482388
192,2008-01-01,39259,Greenville-Anderson-Mauldin,SC,
193,2009-01-01,37245,Greenville-Anderson-Mauldin,SC,-0.05130033877582208
194,2010-01-01,38159,Greenville-Anderson-Mauldin,SC,0.024540206739159576
195,2011-01-01,38895,Greenville-Anderson-Mauldin,SC,0.019287717183364302
196,2012-01-01,40064,Greenville-Anderson-Mauldin,SC,0.03005527702789568
197,2013-01-01,39994,Greenville-Anderson-Mauldin,SC,-0.0017472044728434886
198,2014-01-01,41694,Greenville-Anderson-Mauldin,SC,0.04250637595639351
199,2015-01-01,43649,Greenville-Anderson-Mauldin,SC,0.046889240658128266
200,2016-01-01,44140,Greenville-Anderson-Mauldin,SC,0.011248825860844523
201,2017-01-01,45188,Greenville-Anderson-Mauldin,SC,0.023742637063887573
202,2018-01-01,45697,Greenville-Anderson-Mauldin,SC,0.011264052403292979
203,2019-01-01,46027,Greenville-Anderson-Mauldin,SC,0.007221480622360277
204,2008-01-01,70865,Naples-Immokalee-Marco Island,FL,
205,2009-01-01,60186,Naples-Immokalee-Marco Island,FL,-0.1506949834191773
206,2010-01-01,65322,Naples-Immokalee-Marco Island,FL,0.08533546007377124
207,2011-01-01,66903,Naples-Immokalee-Marco Island,FL,0.02420317810232397
208,2012-01-01,73082,Naples-Immokalee-Marco Island,FL,0.09235759233517182
209,2013-01-01,69489,Naples-Immokalee-Marco Island,FL,-0.04916395282011987
210,2014-01-01,75773,Naples-Immokalee-Marco Island,FL,0.09043157909885012
211,2015-01-01,80712,Naples-Immokalee-Marco Island,FL,0.06518152904068741
212,2016-01-01,81323,Naples-Immokalee-Marco Island,FL,0.007570125879670986
213,2017-01-01,83782,Naples-Immokalee-Marco Island,FL,0.030237448200386208
214,2018-01-01,90233,Naples-Immokalee-Marco Island,FL,0.07699744575207079
215,2019-01-01,90469,Naples-Immokalee-Marco Island,FL,0.0026154511099043547
216,2008-01-01,41842,Buffalo-Cheektowaga-Niagara Falls,NY,
217,2009-01-01,42594,Buffalo-Cheektowaga-Niagara Falls,NY,0.017972372257540226
218,2010-01-01,43528,Buffalo-Cheektowaga-Niagara Falls,NY,0.02192797107573829
